sample,lead,data_source,notes
1,0,MDEQ,NA
2,104,MDEQ,sample removed: house had a filter
3,10,MDEQ,NA
4,6,MDEQ,NA
5,5,MDEQ,NA
6,0,MDEQ,NA
7,3,MDEQ,NA
8,0,MDEQ,NA
9,13,MDEQ,NA
10,4,MDEQ,NA
11,8,MDEQ,NA
12,6,MDEQ,NA
13,2,MDEQ,NA
14,1,MDEQ,NA
15,1,MDEQ,NA
16,0,MDEQ,NA
17,2,MDEQ,NA
18,7,MDEQ,NA
19,3,MDEQ,NA
20,5,MDEQ,NA
21,0,MDEQ,NA
22,5,MDEQ,NA
23,5,MDEQ,NA
24,42,MDEQ,NA
25,22,MDEQ,NA
26,8,MDEQ,NA
27,20,MDEQ,sample removed: business not residence
28,6,MDEQ,NA
29,2,MDEQ,NA
30,5,MDEQ,NA
31,3,MDEQ,NA
32,2,MDEQ,NA
33,3,MDEQ,NA
34,4,MDEQ,NA
35,21,MDEQ,NA
36,7,MDEQ,NA
37,3,MDEQ,NA
38,42,MDEQ,NA
39,0,MDEQ,NA
40,7,MDEQ,NA
41,29,MDEQ,NA
42,18,MDEQ,NA
43,1,MDEQ,NA
44,2,MDEQ,NA
45,3,MDEQ,NA
46,1,MDEQ,NA
47,5,MDEQ,NA
48,0,MDEQ,NA
49,3,MDEQ,NA
50,10,MDEQ,NA
51,2,MDEQ,NA
52,5,MDEQ,NA
53,2,MDEQ,NA
54,3,MDEQ,NA
55,0,MDEQ,NA
56,3,MDEQ,NA
57,9,MDEQ,NA
58,11,MDEQ,NA
59,0,MDEQ,NA
60,0,MDEQ,NA
61,3,MDEQ,NA
62,6,MDEQ,NA
63,2,MDEQ,NA
64,0,MDEQ,NA
65,2,MDEQ,NA
66,0,MDEQ,NA
67,2,MDEQ,NA
68,0,MDEQ,NA
69,3,MDEQ,NA
70,5,MDEQ,NA
71,2,MDEQ,NA
