sample,lead,data_source
1,0.344,Virginia Tech
2,0.349,Virginia Tech
3,0.4,Virginia Tech
4,0.41,Virginia Tech
5,0.438,Virginia Tech
6,0.475,Virginia Tech
7,0.5,Virginia Tech
8,0.5,Virginia Tech
9,0.501,Virginia Tech
10,0.507,Virginia Tech
11,0.543,Virginia Tech
12,0.548,Virginia Tech
13,0.552,Virginia Tech
14,0.639,Virginia Tech
15,0.64,Virginia Tech
16,0.684,Virginia Tech
17,0.7,Virginia Tech
18,0.708,Virginia Tech
19,0.719,Virginia Tech
20,0.739,Virginia Tech
21,0.753,Virginia Tech
22,0.793,Virginia Tech
23,0.8,Virginia Tech
24,0.8,Virginia Tech
25,0.8,Virginia Tech
26,0.823,Virginia Tech
27,0.828,Virginia Tech
28,0.832,Virginia Tech
29,0.846,Virginia Tech
30,0.866,Virginia Tech
31,0.9,Virginia Tech
32,0.906,Virginia Tech
33,0.915,Virginia Tech
34,0.922,Virginia Tech
35,0.948,Virginia Tech
36,0.956,Virginia Tech
37,0.965,Virginia Tech
38,0.974,Virginia Tech
39,0.977,Virginia Tech
40,0.99,Virginia Tech
41,1.032,Virginia Tech
42,1.083,Virginia Tech
43,1.1,Virginia Tech
44,1.1,Virginia Tech
45,1.1,Virginia Tech
46,1.111,Virginia Tech
47,1.114,Virginia Tech
48,1.132,Virginia Tech
49,1.152,Virginia Tech
50,1.154,Virginia Tech
51,1.166,Virginia Tech
52,1.174,Virginia Tech
53,1.183,Virginia Tech
54,1.2,Virginia Tech
55,1.203,Virginia Tech
56,1.224,Virginia Tech
57,1.229,Virginia Tech
58,1.29,Virginia Tech
59,1.293,Virginia Tech
60,1.329,Virginia Tech
61,1.344,Virginia Tech
62,1.38,Virginia Tech
63,1.386,Virginia Tech
64,1.403,Virginia Tech
65,1.467,Virginia Tech
66,1.469,Virginia Tech
67,1.492,Virginia Tech
68,1.571,Virginia Tech
69,1.585,Virginia Tech
70,1.621,Virginia Tech
71,1.626,Virginia Tech
72,1.633,Virginia Tech
73,1.668,Virginia Tech
74,1.671,Virginia Tech
75,1.701,Virginia Tech
76,1.799,Virginia Tech
77,1.8,Virginia Tech
78,1.852,Virginia Tech
79,1.861,Virginia Tech
80,1.862,Virginia Tech
81,1.867,Virginia Tech
82,1.888,Virginia Tech
83,1.934,Virginia Tech
84,1.951,Virginia Tech
85,1.959,Virginia Tech
86,1.966,Virginia Tech
87,1.984,Virginia Tech
88,2.054,Virginia Tech
89,2.1,Virginia Tech
90,2.145,Virginia Tech
91,2.149,Virginia Tech
92,2.172,Virginia Tech
93,2.229,Virginia Tech
94,2.261,Virginia Tech
95,2.267,Virginia Tech
96,2.273,Virginia Tech
97,2.325,Virginia Tech
98,2.332,Virginia Tech
99,2.362,Virginia Tech
100,2.37,Virginia Tech
101,2.423,Virginia Tech
102,2.433,Virginia Tech
103,2.435,Virginia Tech
104,2.448,Virginia Tech
105,2.481,Virginia Tech
106,2.484,Virginia Tech
107,2.525,Virginia Tech
108,2.544,Virginia Tech
109,2.576,Virginia Tech
110,2.582,Virginia Tech
111,2.672,Virginia Tech
112,2.708,Virginia Tech
113,2.774,Virginia Tech
114,2.816,Virginia Tech
115,2.822,Virginia Tech
116,2.828,Virginia Tech
117,2.85,Virginia Tech
118,2.867,Virginia Tech
119,2.9,Virginia Tech
120,2.911,Virginia Tech
121,2.997,Virginia Tech
122,3.045,Virginia Tech
123,3.058,Virginia Tech
124,3.131,Virginia Tech
125,3.158,Virginia Tech
126,3.228,Virginia Tech
127,3.232,Virginia Tech
128,3.243,Virginia Tech
129,3.262,Virginia Tech
130,3.322,Virginia Tech
131,3.341,Virginia Tech
132,3.365,Virginia Tech
133,3.4,Virginia Tech
134,3.445,Virginia Tech
135,3.484,Virginia Tech
136,3.521,Virginia Tech
137,3.564,Virginia Tech
138,3.679,Virginia Tech
139,3.741,Virginia Tech
140,3.744,Virginia Tech
141,3.784,Virginia Tech
142,3.832,Virginia Tech
143,3.9,Virginia Tech
144,3.9,Virginia Tech
145,4.056,Virginia Tech
146,4.062,Virginia Tech
147,4.066,Virginia Tech
148,4.152,Virginia Tech
149,4.287,Virginia Tech
150,4.358,Virginia Tech
151,4.401,Virginia Tech
152,4.453,Virginia Tech
153,4.47,Virginia Tech
154,4.476,Virginia Tech
155,4.563,Virginia Tech
156,4.681,Virginia Tech
157,4.69,Virginia Tech
158,4.699,Virginia Tech
159,4.764,Virginia Tech
160,4.797,Virginia Tech
161,4.808,Virginia Tech
162,5.06,Virginia Tech
163,5.068,Virginia Tech
164,5.153,Virginia Tech
165,5.218,Virginia Tech
166,5.228,Virginia Tech
167,5.3,Virginia Tech
168,5.35,Virginia Tech
169,5.367,Virginia Tech
170,5.402,Virginia Tech
171,5.5,Virginia Tech
172,5.508,Virginia Tech
173,5.59,Virginia Tech
174,5.655,Virginia Tech
175,5.667,Virginia Tech
176,5.668,Virginia Tech
177,6.054,Virginia Tech
178,6.087,Virginia Tech
179,6.093,Virginia Tech
180,6.2,Virginia Tech
181,6.2,Virginia Tech
182,6.219,Virginia Tech
183,6.261,Virginia Tech
184,6.27,Virginia Tech
185,6.3,Virginia Tech
186,6.347,Virginia Tech
187,6.557,Virginia Tech
188,6.601,Virginia Tech
189,6.609,Virginia Tech
190,6.877,Virginia Tech
191,7.087,Virginia Tech
192,7.2,Virginia Tech
193,7.244,Virginia Tech
194,7.575,Virginia Tech
195,7.636,Virginia Tech
196,8.007,Virginia Tech
197,8.071,Virginia Tech
198,8.133,Virginia Tech
199,8.2,Virginia Tech
200,8.471,Virginia Tech
201,8.561,Virginia Tech
202,8.713,Virginia Tech
203,8.8,Virginia Tech
204,9.3,Virginia Tech
205,9.408,Virginia Tech
206,9.766,Virginia Tech
207,9.997,Virginia Tech
208,10.32,Virginia Tech
209,10.56,Virginia Tech
210,10.6,Virginia Tech
211,10.74,Virginia Tech
212,10.96,Virginia Tech
213,11,Virginia Tech
214,11.2,Virginia Tech
215,11.47,Virginia Tech
216,11.52,Virginia Tech
217,11.57,Virginia Tech
218,11.93,Virginia Tech
219,12.3,Virginia Tech
220,12.55,Virginia Tech
221,12.81,Virginia Tech
222,12.87,Virginia Tech
223,12.9,Virginia Tech
224,13.53,Virginia Tech
225,13.95,Virginia Tech
226,14.33,Virginia Tech
227,15.55,Virginia Tech
228,15.73,Virginia Tech
229,15.9,Virginia Tech
230,16.49,Virginia Tech
231,16.51,Virginia Tech
232,16.52,Virginia Tech
233,16.99,Virginia Tech
234,18.11,Virginia Tech
235,18.86,Virginia Tech
236,19.12,Virginia Tech
237,19.16,Virginia Tech
238,20.22,Virginia Tech
239,20.41,Virginia Tech
240,22.08,Virginia Tech
241,23.85,Virginia Tech
242,24.37,Virginia Tech
243,25.21,Virginia Tech
244,26.64,Virginia Tech
245,27.02,Virginia Tech
246,27.05,Virginia Tech
247,27.45,Virginia Tech
248,28.7,Virginia Tech
249,28.91,Virginia Tech
250,29.13,Virginia Tech
251,29.59,Virginia Tech
252,30.91,Virginia Tech
253,31.06,Virginia Tech
254,31.14,Virginia Tech
255,32.85,Virginia Tech
256,34.13,Virginia Tech
257,38.02,Virginia Tech
258,40.63,Virginia Tech
259,43.19,Virginia Tech
260,56.26,Virginia Tech
261,59,Virginia Tech
262,66.24,Virginia Tech
263,66.88,Virginia Tech
264,75.82,Virginia Tech
265,102.7,Virginia Tech
266,105.3,Virginia Tech
267,109.6,Virginia Tech
268,118.4,Virginia Tech
269,120,Virginia Tech
270,138.8,Virginia Tech
271,158,Virginia Tech
